"OTU_ID","CONSENSUS_LINEAGE","SUPERKINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","biological_label"
"OTU_97.785","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Unclassified","Ruminococcaceae"
"OTU_97.361","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Unclassified","Ruminococcaceae"
"OTU_97.663","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Unclassified","Ruminococcaceae"
"OTU_97.545","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Unclassified","Ruminococcaceae"
"OTU_97.10199","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","Ruminococcaceae / Oscillospira"
"OTU_97.339","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","Ruminococcaceae / Oscillospira"
"OTU_97.288","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","Ruminococcaceae / Oscillospira"
"OTU_97.42522","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","Ruminococcaceae / Oscillospira"
"OTU_97.720","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","Ruminococcaceae / Oscillospira"
"OTU_97.38248","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","Ruminococcaceae / Oscillospira"
"OTU_97.286","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","Ruminococcaceae / Oscillospira"
"OTU_97.2881","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","Ruminococcaceae / Oscillospira"
"OTU_97.4651","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","Ruminococcaceae / Oscillospira"
"OTU_97.7888","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","Ruminococcaceae / Oscillospira"
"OTU_97.810","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified","Clostridiales"
"OTU_97.266","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","Ruminococcaceae / Ruminococcus"
"OTU_97.15337","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","Ruminococcaceae / Ruminococcus"
"OTU_97.155","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","Ruminococcaceae / Ruminococcus"
"OTU_97.617","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Unclassified","Ruminococcaceae"
"OTU_97.683","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","Ruminococcaceae / Faecalibacterium"
"OTU_97.181","Root;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","Ruminococcaceae / Faecalibacterium"
