"taxa1","taxa2","reliability","cminet_096","cminet_097","cminet_098"
"5439","3502",1,0,0,0
"2308","3502",1,4,4,2
"13295","3502",1,0,0,0
"2012","3502",1,0,0,0
"14044","3502",1,0,0,0
"14145","3502",1,0,0,0
"696","5738",1,0,0,0
"9096","5738",1,0,0,0
"675","5738",1,0,0,0
"7293","5738",1,0,0,0
"13295","5738",1,0,0,0
"11701","12508",1,1,1,1
"6538","12508",1,0,0,0
"5439","12508",1,0,0,0
"2012","12508",1,0,0,0
"5738","12508",1,0,0,0
"10784","6169",1,0,0,0
"13295","6169",1,1,1,0
"14044","6169",1,0,0,0
"3502","6169",1,0,0,0
"12508","6169",1,6,3,3
"696","11546",1,0,0,0
"9096","11546",1,0,0,0
"13295","11546",1,5,4,4
"14044","11546",1,0,0,0
"3502","11546",1,2,2,1
"12508","11546",1,0,0,0
"6169","11546",1,1,1,0
"10784","15983",1,1,1,1
"13295","15983",1,1,0,0
"14044","15983",1,0,0,0
"3502","15983",1,0,0,0
"12508","15983",1,0,0,0
"6169","15983",1,4,3,3
"11546","15983",1,5,5,4
"9096","9067",1,0,0,0
"13295","9067",1,0,0,0
"12508","9067",1,0,0,0
"2012","11437",1,7,7,5
"14044","11437",1,0,0,0
"12508","11437",1,0,0,0
"9067","11437",1,0,0,0
"8560","10416",1,0,0,0
"6538","7346",1,0,0,0
"2749","7346",1,0,0,0
"1661","2737",1,0,0,0
"10784","2737",1,0,0,0
"10038","2737",1,0,0,0
"15044","2737",1,0,0,0
"11701","2737",1,0,0,0
"10240","2737",1,0,0,0
"98","2737",1,0,0,0
"11005","2737",1,0,0,0
"11734","2737",1,0,0,0
"14931","2737",1,0,0,0
"6119","2737",1,0,0,0
"14381","2737",1,0,0,0
"2361","2737",1,0,0,0
"16870","2737",1,0,0,0
"2589","2737",1,0,0,0
"696","2737",1,0,0,0
"9096","2737",1,0,0,0
"3798","2737",1,0,0,0
"2736","2737",1,0,0,0
"9867","2737",1,0,0,0
"6189","2737",1,0,0,0
"4499","2737",1,0,0,0
"6538","2737",1,0,0,0
"10849","2737",1,0,0,0
"4451","2737",1,0,0,0
"2012","2737",1,1,1,0
"14044","2737",1,0,0,0
"3502","2737",1,0,0,0
"6169","2737",1,0,0,0
"11546","2737",1,0,0,0
"15983","2737",1,0,0,0
"1661","5395",1,0,0,0
"10784","5395",1,0,0,0
"10038","5395",1,1,1,0
"15044","5395",1,0,0,0
"11701","5395",1,0,0,0
"11005","5395",1,2,1,1
"11734","5395",1,0,0,0
"6119","5395",1,0,0,0
"14381","5395",1,0,0,0
"2361","5395",1,0,0,0
"16870","5395",1,0,0,0
"2589","5395",1,3,2,2
"696","5395",1,0,0,0
"9096","5395",1,0,0,0
"2736","5395",1,0,0,0
"9867","5395",1,0,0,0
"6189","5395",1,0,0,0
"9056","5395",1,0,0,0
"4499","5395",1,0,0,0
"6538","5395",1,0,0,0
"10849","5395",1,0,0,0
"4451","5395",1,0,0,0
"2012","5395",1,0,0,0
"14044","5395",1,0,0,0
"6169","5395",1,0,0,0
"11546","5395",1,0,0,0
"15983","5395",1,0,0,0
"2737","5395",1,2,2,1
"13295","3321",1,0,0,0
"14044","3321",1,0,0,0
"3321","12201",1,6,6,6
"13295","8331",1,0,0,0
"3321","8331",1,7,7,6
"3321","2439",1,9,9,9
"3321","9326",1,6,6,6
"14044","10100",1,0,0,0
"3321","10100",1,7,7,6
"9326","10100",1,2,2,1
"10100","14051",1,4,3,2
"3321","11548",1,5,3,3
"3321","11439",1,8,8,8
"696","13947",1,0,0,0
"9096","13947",1,0,0,0
"3321","13947",1,6,6,6
"14044","10922",1,0,0,0
"2012","14866",1,3,3,2
"14044","14866",1,0,0,0
"10922","14866",1,0,0,0
"10922","156",1,9,8,8
"14866","156",1,9,6,4
"2089","16084",1,8,8,8
"3321","9719",1,4,1,1
"13947","9719",1,6,6,5
"2012","9017",1,0,0,0
"3502","9017",1,0,0,0
"3321","9017",1,4,4,4
"13947","9017",1,6,6,6
"2012","10487",1,3,3,2
"3502","10487",1,0,0,0
"2012","14511",1,0,0,0
"10487","14511",1,0,0,0
"11701","11950",1,0,0,0
"9056","11950",1,0,0,0
"2012","11950",1,2,2,1
"14044","11950",1,0,0,0
"3502","11950",1,0,0,0
"11701","14929",1,0,0,0
"16191","14929",1,0,0,0
"3825","14929",1,0,0,0
"9096","14929",1,0,0,0
"9056","14929",1,1,1,0
"12709","14929",1,1,0,0
"11546","14929",1,0,0,0
"2737","14929",1,1,1,0
"5395","14929",1,7,7,7
"11950","14929",1,0,0,0
"11185","13344",1,0,0,0
"3825","13344",1,0,0,0
"9096","13344",1,0,0,0
"3502","13344",1,0,0,0
"2737","13344",1,0,0,0
"5395","13344",1,0,0,0
"11950","13344",1,0,0,0
"14929","13344",1,0,0,0
"14044","8201",1,0,0,0
"3502","8201",1,0,0,0
"2737","8201",1,0,0,0
"5395","8201",1,0,0,0
"14929","8201",1,0,0,0
"13344","8201",1,9,9,9
"13344","2651",1,8,8,8
"8201","2651",1,5,5,5
"9096","4995",1,0,0,0
"2737","4995",1,0,0,0
"5395","4995",1,0,0,0
"10487","4995",1,9,9,8
"14511","4995",1,7,7,7
"2651","4995",1,0,0,0
"3502","13350",1,1,1,1
"16688","10590",1,1,1,1
"1661","10590",1,0,0,0
"10784","10590",1,0,0,0
"4047","10590",1,0,0,0
"13234","10590",1,0,0,0
"15044","10590",1,0,0,0
"12605","10590",1,2,2,1
"12916","10590",1,0,0,0
"6431","10590",1,0,0,0
"2385","10590",1,0,0,0
"12057","10590",1,0,0,0
"16191","10590",1,0,0,0
"1605","10590",1,0,0,0
"13549","10590",1,1,0,0
"14931","10590",1,0,0,0
"10975","10590",1,0,0,0
"3766","10590",1,0,0,0
"15727","10590",1,0,0,0
"9867","10590",1,0,0,0
"9056","10590",1,0,0,0
"12943","10590",1,0,0,0
"12709","10590",1,0,0,0
"15401","10590",1,0,0,0
"7422","10590",1,0,0,0
"10849","10590",1,0,0,0
"5439","10590",1,0,0,0
"13295","10590",1,0,0,0
"2012","10590",1,0,0,0
"11546","10590",1,0,0,0
"15983","10590",1,0,0,0
"8560","10590",1,0,0,0
"10100","10590",1,0,0,0
"13947","10590",1,0,0,0
"8201","10590",1,1,1,1
"1661","7420",1,0,0,0
"10784","7420",1,0,0,0
"4047","7420",1,0,0,0
"15044","7420",1,1,0,0
"12605","7420",1,0,0,0
"12916","7420",1,0,0,0
"6431","7420",1,0,0,0
"2385","7420",1,0,0,0
"14794","7420",1,1,1,1
"16191","7420",1,0,0,0
"13549","7420",1,1,0,0
"14931","7420",1,1,0,0
"15727","7420",1,1,1,1
"9056","7420",1,0,0,0
"15401","7420",1,0,0,0
"7422","7420",1,1,1,1
"5439","7420",1,0,0,0
"2012","7420",1,0,0,0
"11546","7420",1,0,0,0
"15983","7420",1,0,0,0
"5395","7420",1,0,0,0
"13947","7420",1,0,0,0
"10590","7420",1,8,8,8
"10784","2574",1,7,5,3
"10590","2574",1,0,0,0
"2574","16421",1,1,1,1
"1661","8058",1,0,0,0
"10784","8058",1,0,0,0
"10590","8058",1,0,0,0
"696","11706",1,0,0,0
"9096","11706",1,0,0,0
"8058","11706",1,6,5,4
"13295","2497",1,0,0,0
"10590","7291",1,2,1,0
"7420","7291",1,0,0,0
"10590","5292",1,0,0,0
"7420","5292",1,0,0,0
"7291","5292",1,0,0,0
"14044","11747",1,0,0,0
"2737","11747",1,0,0,0
"5395","11747",1,0,0,0
"8058","11747",1,8,7,6
"11706","11747",1,6,5,6
"2497","11747",1,6,4,4
"13295","577",1,0,0,0
"2012","577",1,0,0,0
"11747","577",1,7,5,5
"9096","9999",1,0,0,0
"2737","9999",1,0,0,0
"5395","9999",1,0,0,0
"9096","3444",1,0,0,0
"4499","3444",1,0,0,0
"10590","3444",1,0,0,0
"8058","3444",1,9,9,9
"11706","3444",1,5,4,3
"2497","3444",1,3,3,2
"11747","3444",1,7,7,5
"577","3444",1,4,3,3
"9999","3444",1,6,6,6
"2737","1494",1,0,0,0
"696","14597",1,0,0,0
"9096","14597",1,0,0,0
"9056","14597",1,0,0,0
"2012","6331",1,0,0,0
"3444","6331",1,0,0,0
"1494","6331",1,0,0,0
"14597","6331",1,9,9,9
"11203","3474",1,0,0,0
"14794","3474",1,0,0,0
"9579","3474",1,0,0,0
"5536","3474",1,0,0,0
"2012","3474",1,0,0,0
"3502","3474",1,0,0,0
"11546","3474",1,0,0,0
"15983","3474",1,0,0,0
"2737","3474",1,0,0,0
"5395","3474",1,0,0,0
"14929","3474",1,0,0,0
"2651","3474",1,0,0,0
"6331","3474",1,8,8,8
"12074","3474",1,8,8,8
"283","9604",1,0,0,0
"1661","9604",1,0,0,0
"10784","9604",1,0,0,0
"4047","9604",1,0,0,0
"11185","9604",1,0,0,0
"10240","9604",1,0,0,0
"12462","9604",1,0,0,0
"11005","9604",1,0,0,0
"5846","9604",1,0,0,0
"11203","9604",1,0,0,0
"14794","9604",1,0,0,0
"6119","9604",1,0,0,0
"14381","9604",1,0,0,0
"2736","9604",1,1,1,1
"6189","9604",1,0,0,0
"6987","9604",1,0,0,0
"6538","9604",1,0,0,0
"12237","9604",1,0,0,0
"10825","9604",1,1,1,1
"8486","9604",1,0,0,0
"15401","9604",1,0,0,0
"10849","9604",1,0,0,0
"4451","9604",1,0,0,0
"9579","9604",1,0,0,0
"5536","9604",1,0,0,0
"2012","9604",1,0,0,0
"14145","9604",1,0,0,0
"3502","9604",1,0,0,0
"11546","9604",1,0,0,0
"15983","9604",1,0,0,0
"2737","9604",1,0,0,0
"5395","9604",1,0,0,0
"14929","9604",1,0,0,0
"2651","9604",1,0,0,0
"10590","9604",1,0,0,0
"7420","9604",1,0,0,0
"8058","9604",1,0,0,0
"7291","9604",1,0,0,0
"11747","9604",1,0,0,0
"3444","9604",1,0,0,0
"1494","9604",1,0,0,0
"6331","9604",1,7,7,7
"3474","9604",1,8,8,8
"9096","16312",1,0,0,0
"696","12396",1,0,0,0
"9096","12396",1,0,0,0
"3502","12396",1,0,0,0
"16312","12396",1,2,2,1
"12396","1097",1,0,0,0
"5395","13545",1,0,0,0
"1661","12130",1,0,0,0
"10784","12130",1,0,0,0
"15044","12130",1,0,0,0
"13033","12130",1,0,0,0
"12605","12130",1,0,0,0
"6431","12130",1,0,0,0
"11185","12130",1,0,0,0
